anio,mes,banco,activos,pasivos,patrimonio,carterabruta,depositos,utilidad,calificacion
2023,1,COMERCIAL DE MANABI,65,50,14,34.39,47,0,BB
2023,1,COOPNACIONAL,202,169,32,84.74,165,0,AA
2023,1,DELBANK,29,18,11,18.9,16,0,A
2023,1,DINERS CLUB,2479,1954,520,2197.9,1232,5,AAA
2023,1,D-MIRO,89,75,15,77.65,48,-1,A
2023,1,FINCA,85,75,10,61.7,65,-1,BBB
2023,1,GENERAL RUMIÑAHUI,1107,1004,102,824.24,865,1,AAA
2023,1,GUAYAQUIL,6940,6248,681,4744.16,5365,11,AAA
2023,1,INTERNACIONAL,4548,4081,462,3167.3,3668,5,AAA
2023,1,LITORAL,41,29,12,31.83,28,0,A
2023,1,LOJA,748,676,72,503.5,609,1,AAA
2023,1,MACHALA,1028,950,78,641.59,865,1,AA
2023,1,PACIFICO,6910,5987,915,4386.42,5227,8,AAA
2023,1,PICHINCHA,15734,14220,1498,10539.99,12275,16,AAA
2023,1,PROCREDIT,654,596,59,525.55,388,0,AAA
2023,1,PRODUBANCO,6976,6413,557,4717.49,5294,7,AAA
2023,1,SOLIDARIO,948,764,183,804.29,452,1,AA
2023,1,VISIONFUND,119,98,21,113,20,0,AA
2023,2,AMAZONAS,332,307,25,156.5,280,0,AA
2023,2,AUSTRO,2408,2170,235,1481.6,1958,3,AAA
2023,2,BOLIVARIANO,4641,4196,436,2973.3,3645,9,AAA
2023,2,CAPITAL,20,20,7,6,18,-1,C
2023,2,CITIBANK,773,685,85,365.8,645,4,AAA
2023,2,CODESARROLLO,242,213,30,196.2,168,0,C
2023,2,COMERCIAL DE MANABI,65,51,14,32.3,46,0,BB
2023,2,COOPNACIONAL,199,167,32,85.6,163,0,AA
2023,2,DELBANK,30,19,11,19.5,17,0,A
2023,2,DINERS CLUB,2470,1939,521,2227.2,1215,10,AAA
2023,2,D-MIRO,87,74,15,76.4,49,-1,A
2023,2,FINCA,78,72,13,61.5,66,-7,BBB
2023,2,GENERAL RUMIÑAHUI,1123,1018,102,831,881,3,AAA
2023,2,GUAYAQUIL,6956,6299,636,4839.1,5384,21,AAA
2023,2,INTERNACIONAL,4633,4161,462,3184.5,3717,10,AAA
2023,2,LITORAL,41,30,12,32.4,28,0,A
2023,2,LOJA,748,675,72,506.1,608,1,AAA
2023,2,MACHALA,1051,973,77,651.7,887,1,AA
2023,2,PACIFICO,6881,5950,914,4387.4,5224,17,AAA
2023,2,PICHINCHA,15839,14321,1486,10708.5,12389,33,AAA
2023,2,PROCREDIT,643,585,59,528.3,384,-1,AAA
2023,2,PRODUBANCO,6982,6418,550,4759.5,5305,13,AAA
2023,2,SOLIDARIO,948,763,183,802.1,458,2,AA
2023,2,VISIONFUND,119,98,21,114.4,21,0,AA
2023,3,AMAZONAS,336,311,25,159.29,285,0,AA
2023,3,AUSTRO,2383,2144,235,1453.06,1956,4,AAA
2023,3,BOLIVARIANO,4690,4238,437,3005.88,3679,14,AAA
2023,3,CAPITAL,42,36,6,26.46,33,0,C
2023,3,CITIBANK,776,688,85,397.16,653,4,AAA
2023,3,CODESARROLLO,246,216,30,200.01,168,0,C
2023,3,COMERCIAL DE MANABI,71,57,14,31.27,53,0,BB
2023,3,COOPNACIONAL,206,173,32,86.74,169,0,AA
2023,3,DELBANK,30,19,11,20.31,16,0,A
2023,3,DINERS CLUB,2475,1963,496,2230.92,1224,16,AAA
2023,3,D-MIRO,84,70,15,75.79,48,-1,A
2023,3,FINCA,82,72,13,64.04,65,-3,BBB
2023,3,GENERAL RUMIÑAHUI,1126,1020,102,833.06,873,4,AAA
2023,3,GUAYAQUIL,7154,6485,636,4872.59,5552,32,AAA
2023,3,INTERNACIONAL,4750,4296,439,3248.84,3839,15,AAA
2023,3,LITORAL,42,30,12,32.94,29,0,A
2023,3,LOJA,759,685,72,511.95,619,2,AAA
2023,3,MACHALA,1070,991,77,661.5,902,2,AA
2023,3,PACIFICO,7029,6088,914,4371.13,5380,27,AAA
2023,3,PICHINCHA,16047,14527,1471,10847.93,12723,49,AAA
2023,3,PROCREDIT,657,599,59,528.47,401,-1,AAA
2023,3,PRODUBANCO,7005,6454,530,4813.45,5323,21,AAA
2023,3,SOLIDARIO,947,762,183,804.15,464,2,AA
2023,3,VISIONFUND,122,103,19,116.9,21,0,AA
2022,1,PICHINCHA,13338.42,11978.01,1347.66,8767.15,10930.75,13,AAA
2022,1,PACIFICO,6877.63,6051.55,819.06,4276.99,5314.01,7,AAA
2022,1,GUAYAQUIL,6284.31,5675.68,602.18,4190.92,4904.59,6,AAA
2022,1,PRODUBANCO,6101.37,5598.94,497.16,4010.82,4752.59,5,AAA
2022,1,INTERNACIONAL,4381.78,3951.85,426.23,2645.32,3690.55,4,AAA
